screen_name	name	id	location	followers_count	friends_count	description
livingforlove79	🍀💖✨Abel 🏳️‍🌈♎️🍀	1243642728271040520	Indianapolis, IN	687	2723	I like Madonna and Men 🌈 Tennis Enthusiast 🎾 Tori/Fiona/Bjork/Ani/Kylie Stan 💃🏽 Dance/House Music Art 🎨Love One Another 💖
FlaffyFord	Ford Flaffy	1375064352580067328		0	28	
P_B_Wee	J__A	3225076710		942	3888	May the foetus you save be gay.
czechmate83	Czech Me Out	77355645		120	427	Czech+gay+ginger= Gay Czech Ginger. For those wondering minds, inquire. 🇨🇿🇺🇸
SG_0607	Siri G.	1375005692109721601	Oslo, Norge	1	46	
stillmerous	Merous	1370169794536730626		0	14	
Stentben1	Sten	838426947378167812		1	1822	
JPMS_Pop	JPMS	1013871780904218624	United States	1339	309	The Journal of Popular Music Studies is the peer-reviewed, quarterly publication of @IASPMUS.
elliptickb	Kristen Mann	761055297737592833	SEA	44	457	Remember when I tried to quit twitter? I work on video games @xbox. I watch sports @seattlestorm.
Paul76907573	Slimlad	1332724299061456897	London, England	6	129	Top flight table shuffleboarder and ambivalent about marmite
TAURUSRISlNG	V	1440369150		874	198	🎬📺🎧📚🔞🏳️‍🌈
Whirlygig2021	Bryan Thomas	1374404966207553545		37	562	Weimaraner Dad🐾 Heart Fan🎼 Pizza and Tacos🍕🌮 Biden/Harris 🇺🇸
arefinedpunk	Who?	1374600793173544960		31	647	
Kristincox30	Kristin	1266495566076395520		191	756	
CraigyBabyJ	CraigyBabyJᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ🧊	1151875676	Newcastle Upon Tyne, England	78	318	Twitch and YouTube creator, mainly simulation gaming. Big fan of Microsoft Flight Simulator 2020
danpaulrose	Daniel Rosenberg	592014784	Boston, MA	53	333	USPS Stan Account 🏳️‍🌈
mikaberg19	princess die ☮️ she/her	1168215156788039681	Los Angeles, CA	200	247	skeleton guns are wedding bells in the attic 🚬 ——— mark ronson marry me
Rebecca_Lopez55	Rebecca	1260338321273819141		162	1142	
luffykralolacak	serdar	1374488128610729990		8	352	ne güzel twitter be
mintsimonsays	Mint Simon	1299404164615860225		102	328	little pop prince. 'TONGUE TIED' OUT NOW. 1/3 @caveboymusic
LordLenin5	Lord Lenin	1374289452907036676	Stockholm, Sweden	1	89	Ny på twitter 🤘🏻. Politik, debatt, kultur och självklart Bajen!
Liz68107720	Liz	1372715745231114241		11	254	
seannxcx	sean ❦	2936516935	he/they	561	505	i care too much about pop music
boyledistortion	Boyle	431159832	Paris, France	844	4836	Olivier Boyle is an Electronic Music, Rock, Trip Hop Producer & Composer from Paris 🥁 🎻🎹🗻🚀🤖 https://t.co/VHBFJFrSUQ https://t.co/xVSl8x60tE
CircoRingmaster	B.L.A.	3198266552		120	1005	The Narrator who narrates for @CircoFootnotes. [Other half to the pen name of The Author of THE AUTOMATION - a novel about Vulcan's Automatons. Out now.]
Fonze	Carlos Fonseca	25124311	Bristol	27	159	
jvdfofficial	Dennis Forsberg	3400784692		8	92	"Jukebox" med Mange Schmidt ute nu https://t.co/xfVRIwDepO
Yycdragonlady	Keri Rak	1471260475		392	1327	Co-host of CJSW's Tombstone After Dark, host of The Wake-up Shake-Up on CKUA, mom, dragon boat coach & Co-chair of Calgary Dragon Boat Society. She/her.
narc_maron	Narc Maron	1030268846471503873	Canada	103	266	waco enthusiast they/them
madefrmstars	🤦🏻‍♂️	1350878431	NYC	155	2191	he/him
ijzerlijm_	lancelot	712196179837194240		180	854	🏳️‍🌈⚡️ she/her AND they/them
sparnon	sparnon	65741881	Brooklyn	100	572	
OsamaQamarr	Osama Qamar	1233576895121444865	MANGALORE ,KARNATAKA	0	1048	
romanarugg	Romana	3309669514		128	853	
sarahmontross	Sarah Montross	286276584	Cambridge, MA	166	854	
JZmenis	Jméno si změníš	1335369349243269124		0	17	
CarrieZThomps05	Carrie	1266425049143291914		89	871	
officialalastar	Alastar💫	1172138425002184704	Glasgow, Scotland	73	906	Singer. Actor. Puppeteer. The Big Variety host. Dope old person. Not great at this, mostly just retweeting things I like or find funny. INFJ. He/him. 🏳️‍🌈💜⭐️
oovt8	▄︻デyan ❤️‍🔥	1142491947833184261	slz	82	259	
KnutsenManida	Manida Knutsen	1373616882431975424		2	262	
andy_sometimes	Andy	1369287654894878722	United Kingdom	52	512	japan, numan, kate bush, cure, vinyl #japantheband #thecure #katebush
blazemontevideo	blaze 👁‍🗨 montevideo	3033273884	Oakland, CA	746	3462	VR/2D filmmaker + electronic musician. Focused on new media, film, sound, video games, crypto, plant medicine, social/environmental justice + reform (he/they)
smokingdrinking	Ariel Stark-Benz	6079292	Los Angeles, CA	1082	567	アリエル
cnmnmag	Cinnamon Mag	1054616115928752128	Los Angeles, CA	437	477	Feminine energy in every form. Travel • Food • Music • Beauty. Pitches: caitlin@cinnamonmag.com.
enavigatingsolo	Elissa	786346858729779200	Australia / the world	140	746	travel, coffee, photography, music, horror.
jadeinblack	Jadein Black	134198083	Ann Arbor, MI	254	856	Music 👩‍🏫 Drag 👸💃💋👠💄 . For booking inquiries email jadeinblack@gmail.com
cherieshallsay	Cherie_Shall_Wander	19831497	Melbourne	71	1216	🇮🇪🎬📺📷🎧🎶☘️❤️🗺️🌈⭐🌊🗞️📖🐙🥂🎨🎭🇦🇺
ffflip_art	ffflip	2790505228		246	508	illustrator ffflip@ffflip.art / https://t.co/VMapNT8eRj
matheusouf	matheus	771318311426686976	Recife, Brasil	77	389	Sou mestrando e dou aulas particulares de Francês!
Tonifisherr	Toni	1373425844895502339	Scotland, United Kingdom	156	548	
pokerwithaj	J@m£$!	2820851671	Bucks, England 	60	299	right
HighfillHimself	Brian Highfill	924671268552658944	Columbus, OH	40	863	
JohnnyMc15	Johnny Mc	777957072		3	23	Middle aged and uncertain
fantompatrick	Patrick	482462140	Oregon	79	863	Portland Oregon homo
paulin236	paulin23	1354920302908682253		0	73	
theyresounusual	Josh	1373362911511506949		30	516	He/They | “I like collecting records and exploring the cave of the unknown” | S♏️M♈️R♊️ | 🤷🏼
bgnjackal	...	936551173		6	70	
illumenmusic	Illumen	1373246403670052865	Stockholm, Sverige	16	61	ARTIST/Scandinavian pop music 🔥NEW RELEASE OUT NOW https://t.co/kS3UFG9YMQ
fernandwk	(redactado)	1114774089808396288		1134	1849	
PoojaRa09541164	Pooja Rani	1367514487968854017		139	4968	Cute boy's mom. all are a little broken but life won’t stop anyway.
museumsally	Sally Hawley	56973789	Derby, England	372	602	Collections and Logistics Coordinator @derbymuseums. #DCFC mad & all about increasing access to the past to inspire the future. This is my work account.
Daniel_IFC	DFIer_84 🍁🇨🇦	125435820	Markham, Ontario	49	5001	First Time Uncle | Espionage Enthusiast | Classic Gamer | Blue Jays, Habs & Raptors Fan | '90's Dance, Brit Pop & Tropical Fruit Lover!!! ⚾🏒🏀🍁
weinbnat	Nathan Weinbren	1836550278	Boston, MA	44	1022	MS2 @ UQ Ochsner | Pediatrics | LGBTQ+ Med | Intrigued by the intersection of storytelling/science | Patient Advocacy (he/him) 🏳️‍🌈
MonirRahnama	MONIR RAHNAMA	1373148475332907010	Love	5	46	‏وعشق... این اسم هرجائی، دروغیست پوچ وتوخالی
MLaborde_1406	MDeth	1301280914689884161	Stockholm, Sweden	8	1120	
fofipuma	Marco	613765456	toluca mexico	12	192	
PosticAlexandr2	Postic Alexandre	1373149029832462338		1	22	
lukeyanz	Luke Yanz	20030635		36	469	
xXx__M_D__xXx	MOHD	1348169659	Germany	1	721	
mooaenasus	moo	3083002228	white latinx	2492	643	formerly popular twitter account
_amalouasmi	Amal Ouasmi 🤍	1115696885195345920	Casablanca Morocco 	12	960	Amoula 🤍
fuzethemc	Fuze the Mc	18040878	Atlanta, GA	313551	294388	Artist and Investor Text me 404 777-2474
Reneerohan43	Renee	1260329448433467392		90	865	
marshmello7s	MarshMeLLo	286677605	LdN innit!	2356	1040	
MvWaldemar	WaldemarMV	1370651052358447105		0	163	
SingAsana	Justin Montigne	363123987	Sonoma, CA	212	333	archive account - follow @drmontigne for current tweets
Very_Brave_Men	V B M	920754301626040320	Berkeley, CA	1065	2469	Analog/modular electro pop duo from SF Bay Area. Listen: https://t.co/8wBHiFz0Ft
Craftysince1990	Anthony	21042060	Rialto, CA	850	1952	if you not bringing tacos I suggest you start to walk away. bitch don’t kill my vibe ♈️
paulscottreaney	Paul Reaney	1200268160	Nottingham	789	460	Writer. That's what the voice inside my head whisper. Looking for an agent/publisher for 'How To Lose Your Wife'. Blogging about Sunday Morning Refereeing.
sebastianhedst	Sebastian Hedström	4919809120	Uppsala, Sverige 	4	201	
softboi_toto	✨soft boi✨(Luke)🐧	1023904468792893442	✨New Donk City✨ (SLC, UT)	249	2996	Good vibes only✨🥰 Stand up for black lives✊🏿✊🏾✊🏽 ✨He/Him✨ 🏳️‍🌈♎ I love Ethan Nestor🥺💙, K.Flay💜, Pokémon🧡, TØP💛, K-Pop💗, etc~ header: @hanabusaoekaki
Mik4Mak	Michael Mackinlay	214194411		20	542	
QueerlyRadio	Queerly 🏳️‍🌈 📻	1000132999	United Kingdom	33818	6611	Pop music. Pop culture. | Listen on your smart speaker “…play Queerly Radio” | LGBTQ+ books @queerly_books 🏳️‍🌈 📚 | Contact: hello@queerlyradio.com
blindershine	Marcello	16957670		359	740	Faço mashups mentalmente.
imrlyrobyn	Robyn A1200	2962793127	England, United Kingdom	1107	834	♀ so hip ♀ / freelance compose (game&more) music, design sound and edit videos!! / avatar: @7PurpleCoins (warning, nsfw) shared with @skyeisverycute
Tellavision1	TEllAViSiON	1007549259959488512	Germany	39	60	Songwriter, singer, music producer. IG: tellavisionmusik FB: tellavisionmusic
KellyZWallace04	Kelly	1266498912757612550		112	1024	
Laif73	Mariusz Prokopiuk	1370038346785943554	Lublin, Polska	237	2347	What will not kill you will strengthen you.
chubby_m2	m	3793654873	日本のBrooklyn	87	132	Tired feminist
RecoveryFrShame	Jenny Baker	1372465478149541892	Los Angeles	0	15	Recovery From Shame is a doorway into a world of information that brings relevance and excitement to the universal topic of shame.
SnoopTroopGoop	MMA	1293208941485154305		482	2082	Political junkie. Food junkie. Music junkie. That pretty much sums me up! Be nice. It gets you further! #FBR #Biden2020 🇺🇸🏳️‍🌈💙🤗
lucaspalmans	lucas	1334226755234779139	België	25	82	
FlocoDE55104189	Floco DE Neve	1368957878728601601		10	650	
thebook35648368	the books	1370282585977278465		134	551	From Wikipedia simple and best official
GusNathaniel1	Gus Nathaniel	483090203		151	556	London
hnnhpttrsn	Hannnnnah 🏳️‍🌈	1140202699864051713	London, England	228	2160	she/her. mainly politics, weird art, and writing. full of ill-informed hot takes✌️
caiuxa_	caiuxa✨	162496180	São Paulo	551	959	fãzoca da GG que demora 1h30 pra escolher algo pra comer e ama se auto sabotar ;)
1djzaida	Soft Touch Vol. 1 OUT NOW ⚡⚡⚡	1141349052765880320	Atlanta, GA	905	754	1st lady of @morphatl / producer & dj / local booking: zaida.sanchez.atl@gmail.com / everywhere else: leo@awesome-agency.com
luigiminv	Luis Minvielle (Luigi)	70536133	Argentina	211	3407	Music Writer from South America // words: @bandcamp @okayplayer
mkatpats	mary	100080976	Toronto	265	192	(she/her) pasta playlists performance
GoreJane	Jane 🍒	458659157	Leixlip, Kildare	53	452	'The world only exists in your eyes. You can make it as big or as small as you want'.
peachs0daa	tegan	61747044	Brighton, England	82	162	fairy dyke in Brighton 🌵 she / her 💖 hot sauce lover 🌶
LiveOnAcid	Live On Acid	1362541863257931776	Manchester, England	385	876	As heard on BBC Introducing. Our album “Preaching to the Perverted” out 03.03.22. Bookings/promos: info@liveonacid.co.uk
TruusK1	Truus K	1241639592333279232	Borgerhout, België	26	150	hagedessa gaat vrij en puur natuur door het leven houdt van (wilde) planten, kruiden en dieren Bij twijfel: bescherm de onschuldigen, verdedig de kwetsbaren.
thehappyparadox	🇺🇦🏴‍☠️paradoxy🏴🇺🇦	44736315	Denver, Colorado	545	992	Reader of books. Writer of words. Engaged to art. Got a MFA. Guitarist in @space_death. Known to mosh at any type of show. I use a film camera sometimes.
Helle61261812	Helle	1371234548986621953		130	4761	Kann warten bis der richtige Moment da ist, und trotzdem nix tun.
georgeegonzalez	George Edward González (he/him)	1132999785261088768	California	0	378	
GingerBearian	Bear of Ginger	130119811		1962	909	How dreary to be somebody. He/His/Him. 🏳️‍🌈 🇨🇦 Views are my own. Motorcycles. Cross Stitch. Ex-Carpenter. Current purchaser of books.
ringmynell	nell	1286082769076944896		3	173	Mostly lurking, occasionally bringing my assets to this super cool website
ThailandDLuxxx	JiggleJello NdemDresses	119633184	houston Texas	248	1633	BLACK POWERFUL/ TRANScended Yemaya Energized, Ogun Protected Olokun LINEAGE /performance magi..STAGErist... The Worstess Witch
badgal_shrishri	shrimpy	1209727617680564224	San Francisco, CA	33	392	did you see that movie / listen to that mixtape
ledf2012	led2012	498962554		4351	4027	3d artist https://t.co/2YMfACUL8M
Angela_Allen36	Angela	1266556493173870594		107	794	
am_cardenas	Ali	156147341	Arizona	382	327	Dusty desert things. @phxrisingfc|@bandidosphx
JMH52714214	J M H	1275527390819729410		0	54	
AndreeaTudose10	Andreea Tudose	1268641453418266624		24	209	
_ashleylo	Ashley L	1371472648039989250	New York, NY	0	393	
queeraspop	Queer As Pop	1303500703101530112		146	133	Your queer podcast and destination for all things LGBTQ+ & pop culture. Hosted by @mattynova_ Inquiries: queeraspop@svt.se
KayoYuukiSama	Kayo Yuuki	1305759191940898817		9	233	Taurus/Aquarius, life path 11, INFJ. I'm an underrated work in progress, like to sing, make videos, take pics and write for fun.
Lindsey_Rose1	Lindsey Schmidt	379198794		224	657	she/her. ∆ℓωαуѕ∞ internal auditor. Pet mom. shark week finatic. Harry Potter enthusiast. Survivor-obsessed. Education nerd.
medeaver	Mark Deaver	24349620		4	67	
stanislayss	20 somthin’	2173998515	cashapp 🤑$tizoemami🤮	2658	1974	👻 lrhumie 👻
Sharpieshape	111	27470638		0	1383	
niallmckeown0	Niall McKeown	2798946951		7	575	
john_lasater	John Lasater🇺🇦	3147446663	New York, NY and Durham, NC	96	1585	🇺🇸Black lives matter 🏳️‍🌈 “When a man is in despair, it means that he still believes in something.” - Dmitri Shostakovich
Bad_chicken6	Sin Hill	729679670749368320	Milwaukee, WI	306	1525	I love you more than I love cigarettes.
Bocho01951133	𝕭𝖔𝖚𝖈𝖍𝖔	1370815128023789574		168	195	All our dreams can come true if we have the courage to pursue them. 🐈 ❤️ 🎶vinyl records collector. 🎨🖌️🖼️
babycorndogs	a	1367058584907902976		10	77	She/Her • RN, USRN
ElverJensen	HansChr Elver Jensen	915187716547055617	Fanø, Danmark	46	891	
deanAfear	Dean A. Fear	168086590	Deutschland	306	2594	ᛉ. . the hungry ghøhsts are never patient . .ᛦ
conbrioconfuoco	your little caxixi	1370274643941093376	In the link below	31	650	Erstwhile classically trained pianist, fangirling music fan | astrology, tarot, politics, pop culture, etc on main @sunoppositemoon
Danidoyle	Danielle 🇮🇪 ☘️	39766315	Dublin City, Ireland	649	3577	Love Music #bekind
Yan_ntm	Yan	932641048010117120	Marseille	10	262	Devant ta salade.
xpotatoprincess	body by nuggies	1370809938990178305		43	674	I like butts. pronouns in bio person. they/he/she 21+
jonsson5	martina jonsson	578237788	Sweden	19	190	
TGaogakwe	Le Clównâra	986611378738941952	Botswana	6	695	🤡rent-a-laugh🤡//the views on here are mine and mine alone,mkay? // the queer agenda? Yas. 🌈 https://t.co/WrnHAZrzc4
Linwin	Lina Winkler	21089917		33	77	
Jake_D1700	Jake 💙📈📊🇪🇺	1319767705394778113	United Kingdom	212	596	All views and opinions are my own. Avid TV watcher. Ordained with the ULC. President and Chief Defense Analyst at @EuropeAlliance0 #FBPE @TheGreenParty
EvChMi	evchmi	1300255700581584898	Manhattan, NY	4	21	Singer Songwriter working between Manhattan and Columbus. Insta: @EvChMi i WONDER… AND i’ll WONDER TiL MY DYiNG BREATH
MaritaKristia15	Marita Kristiansen	1337758979339014145		39	2847	
Chrisherwood	Chris Maxwell 🌈	38879612	Edinburgh, Scotland	134	876	He/Him. I won’t drop down dead if you don’t believe in me.🌈 Books. Madonna. Tori Amos. Eurovision. Nintendo Switch.
istansomuchshit	ana	1270505916	a vacilar a la vacilería	475	1808	there will be typos; lorde mi deidad, melodrama mi biblia; she/her
lxmltm	Leah	1242482895798894592		0	425	Just my reading list
Rar133187	Arron R.	1307369794249908228		35	2201	Digs looking at things from another view.
mohamad41160532	mohamad hosein zarei	1370440960111427588		2	332	hi
3477x	william	809826658375135233		69	1351	
AkashYa66656690	HR YADAV	1369882621161988097	Lucknow 	96	1053	🚲 गांव-गांव ~ गली-गली ~ सपा की हवा चली 🚲 नयी सपा है ~ नयी हवा है! 🚲
senna1	SENNAONE	18244129	instagram SENNAONE	12412	1191	I sell diapers to old people, IG: SENNAONE :.My tweets are my opinion based on no research. 1x 70.3 , 1x 26.2
Hazbin_Hotelfan	Markiplierfangirl2021	1364599938353618947		427	2779	I am a Jacksepticeye and Markiplier fangirl. I support lgbtq+ people 🏳️‍🌈🏳️‍🌈. She/her. Sexuality: Straight
justaburgerkid	Burguir ✨	464384297	Del Rey	198	658	♈️ 27. Me gustan los discos de acetato y las hamburguesas. HIM / HRH
jennycmer	jenny	928332355059814400		2	111	
dr_nft	Doctor NFT	1366063312862126080	Earth	412	4669	#Blockchain - #NFTs - #Internet Entrepreneurial Architects Connecting the #Metaverse. Bulb #drop incoming. Get involved 》》》https://t.co/xeVXi53ulO
marcasmith3	Marc Smith	3362642663		55	242	Financial services professional, music lover and overall funny guy
HerediaKurro	KURRO HEREDIA	1366087141978210309		10	105	1997 TAURUS Andalusian boy and London in my heart. Music is my soul and languages are my hobby. My passion is cooking and a beginner writer.
staffansta	ulf hemlin	361430463		7	88	
yorbiaod93	yorbiaod93	1262711026618740738		15	1817	
Allenruben7	Allen ruben	1370150895829258240		1	17	
dlee1410	Dlee1410	1370134121608011780		7	198	
jaimsattack	j a im s	37297847	602	129	211	although it's spelled wrong my name's up in lights
wjustinb	Justin	218388101	Washington, DC	169	795	
frontrowpop	Front Row Pop	1130439377434357761	New York, USA	138	280	We got your live experiences covered. *This page contains affiliate links. If you make a purchase after clicking a link, we collect a share of sales 👍
AnchorMProduct1	AnchorMProductions	1370049890840023040	Oceanside, CA	4	246	Creative in San Diego California
AngelaMarieSage	Angela Sage	373024815	Iowa	5	94	I am Angela Sage and I'm also an Avon Representative in Iowa. I enjoy reading, listening to music,and going on walks.I also enjoy watching TV shows and movies.
plushpuppycat	anton de pe olx	1172647272443723778		12	842	vr inapoi in borsul primordial
FFessenmeyer	Florian Fessenmeyer	1031518030046679041	Paris, France	921	546	👔 Chargé éditorial cinéma @canalplus / passé par @cineplus 🖋️ Membre du @SFCCinema, critique pour les @fichesducinema
mattfei	Matt Phillipson	407794949		319	2848	
Russell08063686	Russell Scott	1359552156492324870		0	13	
infobahnkitty	Colonel Marie-Georges Picquart	3064736961	Aeropagus	0	1165	Ni estaban tan buenos tus macarrones
ECMcLaughlin	Elizabeth C. McLaughlin (she/her)	335060282	SoCal by way of NYC	130177	2571	Founder, Gaia Leadership Project & @AtelieratGaia; Author, Attorney, Activist, EPIQ Women Award Winner; Lit: @WendySherman PR: @kcc_pr Talks: @prhspeakers
GustavoAbreu05	Gustavo Abreu da Silva🇧🇷	1319719517153644546	Viamão, Brasil	21	1279	odeio segunda-feira! viciado em futebol, seriados americanos e game shows!
Now_Im_Gay	James	2990698290		196	525	He/Him Colorado native, published poet, gay married to @chris_sailas with three children (cats), and tired.
Alexand13405380	Alexander	1369774524712026112		1	92	
jamieguest13	Jamie Guest	1369729736457478148	Wirral	8	113	
becczT	Becca	1369749739768537089	Stockholm, Sverige	0	62	här för undvika lyckan på instagram.
rosedommu	Rose Dommu	17367743	LA	41722	1123	all shall love me and despair 😎 listen to my podcast LIKE A VIRGIN ⬇️ editorial @netflix 😈
msilvesttre20	Matheus Silvestre 🐨	1265359090479489030	Fortaleza, Brasil	1838	2715	https://t.co/CVeDM2dxRk
anthonywoodnz	Anthony Wood	3282388050		0	91	
UlanskiJakub	Jakub Ulański	969340660225576961		11	520	
PandaSaysThings	PandaSaysThings	22280061	NY + Bristol, UK	595	507	accredited human being
rachelwalker39	Rachel	1266371780819644417		164	1141	
liangel1984	Li Angel Price	2197251539	Merthyr Tydfil, Wales	9	98	
aaypea_	Alice Phillips	217240569	Liverpool	215	132	
Aaran_De_Burca	Aaran De Burca	1369573481206145026		3	92	Be Kind , Smart , Work Hard , And Get A Dog. You Won’t Regret It.
Rochell55261742	Rochelle Chapman	1311517879708258310		0	4	
sam_baxter2	Sam Baxter	197942176	Dallas, TX	522	1336	
GabrysWronka	Gabryś	300542847	Los Angeles, CA	1715	643	chameleon
